lat,lon,geom,binary,country,map,glad,digital-earth-africa,ensemble
3.757428255,35.27841326,POINT(35.27841325912082 3.757428254650928),0,Kenya,0,0,,
3.899272238,41.70109805,POINT(41.70109804599016 3.899272238013401),0,Kenya,0,0,,
0.514510079,36.81138829,POINT(36.811388291470784 0.514510078979456),0,Kenya,0,0,,
1.106050694,34.57754767,POINT(34.57754767445077 1.106050693572161),0,Kenya,0,0,,
1.340600814,39.44938095,POINT(39.44938095481617 1.340600814255768),0,Kenya,0,0,,
1.715108456,35.78973432,POINT(35.78973431884165 1.715108456205196),0,Kenya,0,0,,
2.174327229,39.93177626,POINT(39.931776262388354 2.174327229447096),0,Kenya,0,0,,
3.855524284,41.75670376,POINT(41.75670376207716 3.85552428367678),0,Kenya,0,0,,
-2.270716459,39.20593751,POINT(39.20593751281978 -2.270716459433121),0,Kenya,0,0,,
2.902681262,34.85872036,POINT(34.858720358380175 2.902681261811204),0,Kenya,0,0,,
2.414896063,38.59122036,POINT(38.59122036389679 2.414896062534304),0,Kenya,0,0,,
1.750771573,39.72489425,POINT(39.72489425245563 1.750771572984741),0,Kenya,0,0,,
2.682324523,34.82296741,POINT(34.82296741007222 2.682324522616685),0,Kenya,0,0,,
-1.769366699,40.97588812,POINT(40.97588811712047 -1.769366699366016),0,Kenya,0,0,,
2.30835587,38.60020352,POINT(38.600203516737984 2.308355869837728),0,Kenya,0,0,,
1.210794256,39.83098529,POINT(39.83098528751014 1.210794255700497),0,Kenya,0,0,,
3.718531203,35.50092595,POINT(35.50092595499722 3.718531202848553),0,Kenya,0,0,,
1.066075663,37.7231783,POINT(37.7231783048521 1.066075663428842),0,Kenya,0,0,,
1.650968745,35.99374172,POINT(35.99374171986519 1.650968744919063),0,Kenya,0,0,,
-0.969955928,36.62139461,POINT(36.621394608879505 -0.969955928028053),0,Kenya,0,0,,
0.132995578,40.62087392,POINT(40.62087391683644 0.132995577813895),0,Kenya,0,0,,
1.957833246,38.97183655,POINT(38.97183654977823 1.957833245974291),0,Kenya,0,0,,
4.121066282,35.68813486,POINT(35.68813486020773 4.121066281662511),0,Kenya,0,0,,
-1.564820309,39.99367019,POINT(39.99367018546418 -1.564820309172),0,Kenya,0,0,,
